City,ID Code,Latitude,Temperature,Humidity,Cloudiness,Wind
Paris,2988507,48.86,75.2,60,0,3.36
Mayya,2020121,61.74,64.4,31,0,4.47
Mathbaria,1185239,22.29,80.99,88,94,4.12
Sarkand,1519691,45.41,77.75,32,33,17.56
Hilo,5855927,19.71,81.0,94,90,4.7
Kodiak,4407665,39.95,80.6,50,1,14.99
Katsuura,1865309,33.93,84.0,94,40,3.36
Karasjok,779350,69.47,53.6,100,21,11.41
Vila Velha,6320062,-3.71,75.2,88,75,13.87
Butaritari,2110227,3.07,85.13,68,100,7.38
Kapaa,5848280,22.08,80.6,74,75,16.11
Ushuaia,3833367,-54.81,33.8,80,75,10.29
Rikitea,4030556,-23.12,68.93,72,0,19.98
Avarua,4035715,-21.21,77.0,83,86,13.87
Qaanaaq,3831208,77.48,39.59,85,100,15.41
Souillac,3026644,45.6,80.6,54,0,4.7
Watertown,5232741,44.9,73.4,46,1,6.93
Bambous Virieux,1106677,-20.34,69.8,73,75,11.41
Port Lincoln,2063036,-34.72,57.95,70,44,33.22
San Patricio,3437029,-26.98,69.65,78,96,2.73
Abu Kamal,174448,34.45,79.37,33,0,13.2
Sao Joao da Barra,3448903,-21.64,69.8,88,0,2.82
Hermanus,3366880,-34.42,62.01,64,2,4.0
Marzuq,72181,14.4,71.45,69,100,18.05
Kiama,2161515,-34.67,64.99,41,0,11.41
Komsomolskoye,693805,45.02,67.13,59,0,3.33
Kalinovskaya,554077,43.57,66.2,93,75,4.47
Albany,5106834,42.65,66.2,88,90,5.82
Tasiilaq,3424607,65.61,44.6,93,0,5.82
Okhansk,516073,57.72,57.2,100,0,6.71
Mataura,6201424,-46.19,46.0,97,71,1.99
Castro,3896218,-42.48,39.2,93,40,2.24
Lithgow,2160053,-33.48,57.0,81,0,4.7
Las Guacamayas,4026075,18.02,86.03,62,31,7.2
Bredasdorp,1015776,-34.53,62.01,67,0,4.7
Ribeira Grande,3372707,38.52,71.6,78,75,10.29
Port Alfred,964432,-33.59,57.0,89,0,3.0
Noblesville,4924198,40.05,73.4,60,1,10.29
Kaitangata,2208248,-46.28,50.0,84,97,1.01
Khatanga,2022572,71.98,61.37,61,100,13.04
Saskylakh,2017155,71.97,73.25,39,37,11.54
Rockingham,2645753,52.52,66.0,88,0,4.7
Arys,1526168,42.43,73.4,38,0,2.24
Hobyo,57000,5.35,76.31,65,36,24.74
Carnarvon,1014034,-30.97,46.97,35,0,11.9
Pringsewu,1630639,-5.36,66.41,87,61,3.49
Great Yarmouth,2647984,52.61,68.0,88,6,1.12
Georgetown,3378644,6.8,78.8,94,75,6.93
Namibe,3347019,-15.19,64.07,85,78,15.64
Santa Maria,3462672,-16.02,68.0,52,0,6.93
Bluff,2175403,-23.58,67.13,61,0,4.25
San Quintin,1688687,17.54,79.55,77,31,2.77
Te Anau,2181625,-45.41,44.81,81,70,2.15
Geraldton,5960603,49.72,59.0,100,90,3.36
Raudeberg,3146487,61.99,57.99,93,90,13.87
Vaini,1273574,15.34,75.59,95,100,11.36
Pangnirtung,6096551,66.15,49.31,62,10,4.52
East London,1006984,-33.02,57.77,41,0,1.32
Point Pedro,1229989,9.82,80.09,76,100,25.23
Doembang Nangbuat,1620010,14.85,80.27,79,98,5.64
Dikson,1507390,73.51,34.91,93,100,9.69
Ferrol,3123493,43.48,69.01,93,0,3.36
Itarema,3393692,-2.92,76.85,79,1,7.9
Lasa,146639,34.92,75.2,64,0,5.82
Atuona,4020109,-9.8,79.55,75,2,13.53
Jamestown,2069194,-33.21,51.11,80,1,17.76
Victoria,1733782,5.28,78.8,94,90,3.36
Esperance,2071860,-33.86,51.8,81,90,14.99
Tapalpa,3982461,19.94,69.11,76,76,5.19
Dubbo,2168305,-32.25,50.0,46,0,1.12
Hithadhoo,1282256,-0.6,83.15,75,67,10.42
Gainesville,4156404,29.65,86.0,83,1,4.63
La Quinta,5364079,33.68,102.0,31,1,6.93
Kourou,3381303,5.16,75.2,100,0,2.24
Mount Gambier,2156643,-37.83,48.2,87,75,9.17
Moerai,4034188,-22.43,74.33,86,44,24.47
Punta Arenas,3874787,-53.16,35.6,70,20,26.4
Iqaluit,5983720,63.75,44.6,75,40,8.05
Saint George,262462,39.45,80.01,64,0,1.81
Guerrero Negro,4021858,27.97,70.01,79,71,11.34
Jiaocheng,1806041,24.68,76.49,86,38,3.53
Nikolskoye,546105,59.7,55.4,76,0,2.24
Yellowknife,6185377,62.45,80.6,32,20,5.82
Cherskiy,2126199,68.75,37.43,93,100,10.65
Udachnyy,2014624,66.42,71.6,30,0,4.47
Busselton,2075265,-33.64,57.0,75,38,11.99
Penzance,2640377,50.12,66.99,100,0,5.82
Dunedin,2191562,-45.87,48.0,94,99,11.01
Maxixe,1039536,-23.86,53.99,82,0,6.51
Westport,4845585,41.14,73.99,94,90,3.36
Yulara,6355222,-25.24,48.2,31,0,5.82
Hualmay,3939761,-11.1,61.55,88,18,18.19
Pevek,2122090,69.7,31.13,98,100,12.12
Crawfordsville,4919381,40.04,73.99,56,1,13.87
Nouadhibou,2377457,20.93,71.6,73,2,26.4
Hobart,2163355,-42.88,51.01,70,75,8.05
Laguna,3581398,16.17,86.0,74,40,6.93
Roata de Jos,668799,44.41,73.99,77,0,3.36
Aquiraz,3407407,-3.9,75.2,88,75,13.87
Puerto Ayora,3652764,-0.74,75.2,69,40,18.34
Sinnamary,3380290,5.38,80.81,78,4,11.97
Puerto Quijarro,3465342,-19.0,78.8,83,32,6.93
Ilulissat,3423146,69.22,51.8,62,5,1.12
