City,ID Code,Latitude,Temperature,Humidity,Cloudiness,Wind
Puerto Ayora,3652764,-0.74,69.8,88,75,10.29
Umm Kaddadah,364933,13.6,96.21,26,3,8.16
Hobart,2163355,-42.88,44.6,65,75,8.05
Klecany,3073652,50.18,91.0,31,0,11.41
Tuktoyaktuk,6170031,69.44,50.0,93,90,10.29
Torbay,6167817,47.66,69.01,82,75,9.17
Sur,286245,22.57,82.17,70,0,10.85
Katherine,2068655,-14.47,60.8,27,0,8.05
Wangaratta,2144764,-36.36,51.8,81,75,17.22
Georgetown,3378644,6.8,82.4,83,40,6.93
Ugoofaaru,1337619,5.67,83.43,73,100,13.0
Busselton,2075265,-33.64,59.0,60,100,6.42
Lebu,344979,8.96,69.8,60,75,9.17
Avarua,4035715,-21.21,73.4,69,2,14.99
Yellowknife,6185377,62.45,68.0,63,20,6.93
Jamestown,2069194,-33.21,51.57,94,97,10.09
New Norfolk,2155415,-42.78,44.6,65,75,8.05
Port Alfred,964432,-33.59,70.0,59,0,14.16
Butaritari,2110227,3.07,84.33,72,100,8.1
Nicoya,3622716,10.15,82.4,74,0,5.82
Issoire,3012664,45.54,100.4,14,0,4.7
Panjab,1131162,34.38,63.45,31,19,17.9
Katsuura,1865309,33.93,78.8,88,75,1.12
Nove Mesto na Morave,3069465,49.56,88.0,37,0,12.75
Thompson,6165406,55.74,62.6,82,40,3.36
Port Elizabeth,4501427,39.31,72.0,94,90,9.17
Bathsheba,3374083,13.22,86.0,74,40,17.22
Vanimo,2084442,-2.67,81.81,75,99,4.83
Victoria,1733782,5.28,82.4,83,75,3.36
Rikitea,4030556,-23.12,69.03,76,100,16.96
Hithadhoo,1282256,-0.6,83.43,74,99,6.96
Mangrol,1263751,25.33,96.75,43,100,5.41
Albany,5106834,42.65,68.0,82,90,5.82
Cabo San Lucas,3985710,22.89,81.0,74,75,2.91
Cherskiy,2126199,68.75,38.25,87,100,5.35
Mount Isa,2065594,-20.73,64.4,22,8,11.41
Usinsk,863061,66.0,71.55,64,100,11.07
Bredasdorp,1015776,-34.53,59.0,72,67,11.41
Baghmara,1274553,23.8,81.63,79,100,6.85
Salisbury,2638664,51.07,91.0,31,0,16.11
Nikolskoye,546105,59.7,75.2,38,40,4.47
Aloleng,1731298,16.13,84.51,67,100,1.28
Rome,6539761,41.89,97.0,32,0,9.17
Arraial do Cabo,3471451,-22.97,77.0,65,0,23.04
Harper,4696310,30.3,78.01,88,90,14.5
Cidreira,3466165,-30.17,70.11,81,100,2.59
Narsaq,3421719,60.91,50.0,81,75,4.7
Cape Town,3369157,-33.93,59.0,76,75,23.04
Barrow,3833859,-38.31,51.39,29,0,12.62
Kahului,5847411,20.89,77.0,69,75,19.64
Yako,2353688,12.96,94.77,35,16,6.33
Antofagasta,3899539,-23.65,55.4,82,75,14.99
Itarema,3393692,-2.92,86.49,53,49,11.5
Lima,3936456,-12.06,60.8,87,90,5.82
Khandyga,2022773,62.65,51.39,42,0,2.75
Nabire,1634614,-3.36,68.49,99,100,1.95
Ust-Nera,2120048,64.57,40.77,54,20,3.8
Bluff,2175403,-23.58,58.95,64,0,6.22
Faanui,4034551,-16.48,79.47,84,94,14.27
Atuona,4020109,-9.8,79.83,76,8,16.17
Punta Arenas,3874787,-53.16,33.01,66,0,9.17
Zaysan,1517060,47.47,64.17,58,68,5.1
Palmerston,6301965,-12.49,70.0,82,0,8.52
Saldanha,2737599,41.42,94.59,24,13,6.82
Tual,1623197,-5.67,77.13,84,99,16.35
Santa Quiteria do Maranhao,3389358,-3.52,84.87,59,86,8.72
Erzin,296852,36.95,93.2,46,0,21.92
Banda Aceh,1215502,5.56,84.15,74,100,9.1
Phangnga,1151464,8.45,78.8,88,20,1.5
Hilo,5855927,19.71,71.6,88,75,6.93
Filingue,2444995,14.35,95.67,31,13,2.86
Kamenka,618453,48.03,68.0,79,67,4.0
Kapaa,5848280,22.08,80.6,78,90,10.29
Chapais,5919850,49.78,46.4,81,90,10.29
Beloha,1067565,-25.17,65.79,43,0,7.43
Loei,1609071,17.49,73.35,88,100,1.95
Ushuaia,3833367,-54.81,33.8,80,75,20.8
Wonthaggi,2154826,-38.6,48.99,86,99,5.01
Biak,1637001,-0.91,59.85,96,100,6.53
Port Blair,1259385,11.67,82.4,83,40,5.82
Kodiak,4407665,39.95,70.0,72,1,8.05
Guerrero Negro,4021858,27.97,68.31,77,33,7.14
Tasiilaq,3424607,65.61,46.4,75,40,23.04
Clarksburg,4351708,39.24,70.0,83,90,11.41
Grand Gaube,934479,-20.01,73.4,73,40,14.99
Kjollefjord,779261,70.95,68.0,64,0,4.7
Pangody,1495626,65.85,62.55,58,63,16.26
Bethel,5880568,60.79,55.4,93,90,3.36
Hasaki,2112802,35.73,75.2,94,75,4.7
Lompoc,5367788,34.64,59.0,100,90,3.36
Amahai,1651591,-3.31,79.0,89,100,10.71
Axim,2303611,4.87,77.85,80,12,13.94
Taoudenni,2450173,22.68,114.03,9,0,4.68
Buala,2109528,-8.15,78.75,85,96,17.29
Astana,1526273,51.13,62.6,88,90,8.95
Manono,209598,-7.3,90.09,15,1,6.55
Merauke,2082539,-8.49,77.67,84,11,23.35
Ribeira Grande,3372707,38.52,75.2,78,75,14.99
Kathu,991664,-27.7,72.0,15,0,5.99
Cabatuan,1721714,16.95,76.95,88,100,3.87
Vao,588365,59.1,72.99,47,0,5.12
Mataura,6201424,-46.19,41.0,97,3,1.99
Norman Wells,6089245,65.28,57.2,82,40,5.82
Chokurdakh,2126123,70.62,47.97,64,100,14.18
Bagdarin,2027244,54.44,50.31,92,0,3.15
Pevek,2122090,69.7,30.33,95,100,11.79
Kavieng,2094342,-2.57,83.61,75,99,20.62
Winchester,2633858,51.06,93.0,35,0,8.05
Katima Mulilo,877178,-17.5,78.8,13,0,2.24
Upernavik,3418910,72.79,47.07,61,0,7.85
Ulstrup,2820205,54.81,82.99,61,20,12.75
Dikson,1507390,73.51,35.37,90,11,4.81
Kupang,2057087,-10.16,74.97,71,44,16.67
Suratgarh,1255361,29.32,103.41,29,0,6.31
Znamenskoye,1485020,57.13,64.53,74,0,2.89
Vaini,1273574,15.34,71.6,94,75,6.93
Cockburn Town,3576994,21.46,89.6,62,40,11.41
Navalcarnero,3115659,40.29,100.0,14,0,11.41
Hermanus,3366880,-34.42,57.99,67,67,8.99
Takoradi,2294915,4.89,81.63,67,84,10.47
Pozoblanco,2512340,38.38,100.4,25,0,8.05
Jawhar,1269106,19.91,80.91,88,46,8.86
Isla Vista,5359864,34.41,62.6,100,90,3.36
Provideniya,4031574,64.42,44.37,96,100,3.49
La Uvita,3676884,6.32,71.37,60,100,2.53
Inhambane,1045114,-23.87,75.2,50,20,18.34
Qaanaaq,3831208,77.48,41.49,64,100,9.1
Anadyr,2127202,64.73,44.6,81,0,6.71
Nome,4732862,30.04,80.6,83,40,5.82
Kushiro,2129072,43.11,58.77,98,100,3.38
Vardo,4372777,39.62,71.6,83,1,3.36
Terrace,6162949,54.52,55.4,93,75,5.82
Almaznyy,582447,48.03,89.6,29,20,11.18
Saint-Louis,2246452,16.03,87.8,62,0,4.7
Prince George,6113365,53.92,57.0,93,20,6.93
Joniskis,598796,56.24,73.4,53,75,9.17
Airai,1651810,-8.93,65.61,66,0,6.13
Karratha,6620339,-20.74,63.99,66,84,10.8
Morondava,1058381,-20.3,74.25,53,0,11.45
Castro,3896218,-42.48,33.8,100,75,1.12
Lagoa,2267254,37.14,84.99,74,40,9.17
Mahebourg,934322,-20.41,73.4,73,40,14.99
Makakilo City,5850554,21.35,80.6,78,90,10.27
Innisfail,2162683,-17.52,66.51,91,97,5.82
San Jeronimo,3929607,-13.65,42.8,60,90,4.25
Saint-Pierre,2995603,48.95,100.0,17,0,5.82
Tautira,4033557,-17.73,77.0,83,96,13.87
Saint Anthony,5606187,43.97,69.8,46,1,4.7
Pandharpur,1260546,17.68,78.93,72,100,18.39
La Rioja,3848950,-29.41,42.93,32,0,6.26
Geraldton,5960603,49.72,59.0,82,20,4.7
Burnie,2173125,-41.05,39.0,92,4,1.99
Luchow,2875542,52.97,87.01,37,20,6.93
Hobyo,57000,5.35,80.19,61,65,29.42
Ravar,118704,31.27,85.77,3,27,12.37
Ilulissat,3423146,69.22,55.4,43,40,3.36
Chumikan,2025256,54.72,46.35,94,100,3.09
Ust-Omchug,2120047,61.13,30.51,75,0,1.19
Arlit,2447513,18.74,103.59,19,0,4.54
Qorveh,119161,35.17,86.49,18,82,11.54
Vuktyl,470905,63.86,71.01,61,55,8.19
Tiarei,4033356,-17.53,77.0,83,66,13.87
Adrar,2508813,27.87,111.2,9,0,17.22
Ouegoa,2139259,-20.34,69.03,69,5,10.71
Zhigansk,2012530,66.77,60.93,37,0,8.28
Olenegorsk,515698,68.14,76.23,46,100,5.77
Mwinilunga,902620,-11.73,78.03,17,0,5.95
Valls,3106492,41.28,105.01,41,20,11.41
Aklavik,5882953,68.22,59.0,93,75,3.36
Labuhan,1641899,-2.54,72.63,85,86,2.75
East London,1006984,-33.02,87.8,14,0,14.99
Atar,2381334,20.52,109.53,12,0,8.39
Goderich,5962442,43.74,69.01,78,0,17.27
Sabaudia,3168764,41.3,98.6,32,0,9.17
Plettenberg Bay,964712,-34.05,52.11,80,37,13.67
Sale,2150615,-38.11,48.99,84,52,10.89
Ponta do Sol,3453439,-20.63,69.75,56,83,6.78
Yaan,2338660,7.38,81.63,84,71,5.5
Te Anau,2181625,-45.41,41.85,81,0,0.87
Paramonga,3933024,-10.68,61.11,89,100,14.58
Moose Factory,6078372,51.26,46.4,75,40,4.7
Uyovu,149027,-3.28,82.17,23,13,7.49
Abu Dhabi,292968,24.47,104.0,56,13,10.29
Chuy,3443061,-33.69,56.97,79,100,13.53
Constitucion,4011743,23.99,64.0,87,20,14.0
Graham,4694420,33.11,78.01,78,1,3.36
Dillon,5648657,45.22,64.99,77,1,4.7
Kaitangata,2208248,-46.28,44.01,86,3,1.99
Xingyi,1787599,24.19,61.47,99,100,3.18
Bubaque,2374583,11.28,79.83,80,85,10.22
Huarmey,3939168,-10.07,62.55,85,100,15.82
Noyabrsk,1496503,63.2,69.21,60,89,15.52
Luderitz,3355672,-26.65,64.4,72,91,18.34
Yermekeyevo,467260,54.07,66.33,82,0,6.51
Mandalgovi,2030065,45.76,62.19,73,1,7.54
Puerto Colombia,3671497,10.99,78.8,94,75,9.17
Longyearbyen,2729907,78.22,48.2,70,75,5.82
Sabya,102651,17.15,95.0,59,40,20.8
Saint-Philippe,6138908,45.36,73.99,64,1,7.31
Tiksi,2015306,71.64,41.31,83,100,11.65
Nanortalik,3421765,60.14,39.33,93,100,5.84
Gushikawa,1863495,26.35,82.4,78,75,4.7
Kununurra,2068110,-15.77,62.6,59,2,7.56
